City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,batagay-alyta,67.8006,130.4114,-27.55,99,100,1.17,RU,1670284021
84,yar-sale,66.8333,70.8333,-17.79,98,21,2.76,RU,1670284023
85,kamenka,51.3223,42.7678,-9.33,51,9,2.1,RU,1670284025
86,quatre cocos,-20.2078,57.7625,23.38,81,73,6.88,MU,1670284026
87,salalah,17.0151,54.0924,22.05,60,0,3.09,OM,1670283896
88,gopalganj,26.4667,84.4333,13.68,54,0,3.28,IN,1670283846
89,bubaque,11.2833,-15.8333,27.24,70,62,3.88,GW,1670284033
90,ancud,-41.8697,-73.8203,12.87,96,71,3.24,CL,1670284033
91,togur,58.3631,82.8265,-17.94,97,100,2.64,RU,1670284035
92,buchanan,5.8808,-10.0467,25.51,87,100,1.12,LR,1670284035
93,san lawrenz,36.0553,14.204,14.36,90,12,3.12,MT,1670284036
94,riverton,40.5219,-111.9391,3.25,80,100,2.24,US,1670284037
95,veraval,20.9,70.3667,21.13,41,0,5.19,IN,1670284038
96,flinders,-34.5833,150.8552,20.59,66,63,4.08,AU,1670284038
97,puerto quijarro,-17.7833,-57.7667,24.62,89,100,0.39,BO,1670284041
98,neryungri,56.6709,124.6491,-17.19,90,100,3.93,RU,1670284041
99,coquimbo,-29.9533,-71.3436,16.85,77,20,4.63,CL,1670283797
100,chapais,49.7834,-74.8492,-8.12,97,98,1.29,CA,1670284044
101,arraial do cabo,-22.9661,-42.0278,23.07,89,100,8.81,BR,1670283914
102,avarua,-21.2078,-159.775,25.03,83,100,1.03,CK,1670284045
103,puerto del rosario,28.5004,-13.8627,17.86,82,0,3.09,ES,1670284046
104,puerto baquerizo moreno,-0.9,-89.6,20.87,79,65,4.81,EC,1670284049
105,iralaya,15.0,-83.2333,25.45,77,42,4.59,HN,1670284050
106,kodiak,57.79,-152.4072,3.73,93,0,0.0,US,1670284051
107,tabou,4.423,-7.3528,25.7,87,86,2.73,CI,1670284053
108,kemijarvi,66.7131,27.4306,-1.49,95,100,5.52,FI,1670284053
109,rocha,-34.4833,-54.3333,16.64,92,0,3.25,UY,1670283922
110,pedernales,18.0384,-71.744,24.74,76,7,1.5,DO,1670284056
111,vanimo,-2.6741,141.3028,26.82,85,100,0.52,PG,1670284056
112,karpathos,35.507,27.2132,15.98,72,80,6.17,GR,1670284056
113,taoudenni,22.6783,-3.9836,25.94,17,10,2.45,ML,1670284057
114,upernavik,72.7868,-56.1549,-2.99,75,27,5.29,GL,1670284057
115,bredasdorp,-34.5322,20.0403,13.76,72,99,1.26,ZA,1670284058
116,bambous virieux,-20.3428,57.7575,23.45,94,75,1.54,MU,1670283896
117,troitsko-pechorsk,62.7084,56.1964,-17.39,99,97,2.52,RU,1670284058
118,faya,18.3851,42.4509,11.06,77,2,1.69,SA,1670284059
119,castro,-24.7911,-50.0119,18.21,97,69,1.33,BR,1670284059
120,khatanga,71.9667,102.5,-26.61,93,49,4.23,RU,1670283953
121,marsh harbour,26.5412,-77.0636,23.67,72,31,3.79,BS,1670284060
122,egvekinot,66.3167,-179.1667,-11.19,87,100,9.14,RU,1670284060
123,narsaq,60.9167,-46.05,6.12,70,80,5.39,GL,1670284060
124,mataura,-46.1927,168.8643,10.27,50,93,2.15,NZ,1670283869
125,saskylakh,71.9167,114.0833,-24.31,90,100,10.01,RU,1670284061
126,lebedinyy,58.5167,125.5167,-23.06,97,100,3.42,RU,1670284061
127,murdochville,48.9583,-65.5006,-3.51,80,79,4.96,CA,1670284062
128,tongzi,28.7829,105.0877,9.77,69,100,0.75,CN,1670284062
129,ponta do sol,32.6667,-17.1,18.73,74,100,1.0,PT,1670284063
130,san martin,-33.081,-68.4681,30.3,33,60,3.16,AR,1670284063
131,zamora,-4.0692,-78.9567,25.58,92,83,1.66,EC,1670284054
132,yumen,40.2833,97.2,-9.71,89,100,1.54,CN,1670284064
133,georgetown,5.4112,100.3354,27.35,93,20,1.54,MY,1670283921
134,pangnirtung,66.1451,-65.7125,-6.0,93,100,5.14,CA,1670283930
135,verkhnevilyuysk,63.4453,120.3167,-22.93,97,100,2.43,RU,1670284064
136,kjellerup,56.2858,9.4353,1.8,100,75,1.54,DK,1670284065
137,kampong thum,12.7111,104.8887,22.62,94,43,2.12,KH,1670284066
